,State,Year,Confortability Income Threshold,Poverty Income Threshold,Rent Per State,Mean Income per State,Unemployment Rate,Latitude,Longitude
173,Mississippi,12/31/2023,36199,24470,777,36651,3.85,32.741646,-89.678696
174,Missouri,12/31/2023,44065,24495,711,42976,1.99,38.456085,-92.288368
175,Montana,12/31/2023,41894,24491,745,41794,2.50,46.921925,-110.454353
176,Nebraska,12/31/2023,50886,24492,737,50242,2.48,41.12537,-98.268082
177,Nevada,12/31/2023,56965,24491,877,54889,2.39,38.313515,-117.055374
178,New Hampshire,12/31/2023,62449,24496,1129,63622,1.68,43.452492,-71.563896
179,New Jersey,12/31/2023,56764,24483,1276,57043,2.36,40.298904,-74.521011
180,New Mexico,12/31/2023,43807,24486,737,42687,4.03,34.840515,-106.248482
181,New York,12/31/2023,50837,24476,1352,52379,2.80,42.165726,-74.948051
182,North Carolina,12/31/2023,46353,24492,812,45915,2.60,35.630066,-79.806419
183,North Dakota,12/31/2023,45133,24492,686,43815,1.97,47.528912,-99.784012
184,Ohio,12/31/2023,48386,24492,680,47045,2.86,40.388783,-82.764915
185,Oklahoma,12/31/2023,49719,24499,680,48269,2.35,35.565342,-96.928917
186,Oregon,12/31/2023,47002,24495,943,46443,2.71,44.572021,-122.070938
187,Pennsylvania,12/31/2023,48401,24488,987,49777,2.88,40.590752,-77.209755
188,Rhode Island,12/31/2023,41501,24480,1144,43242,2.23,41.680893,-71.51178
189,South Carolina,12/31/2023,39691,24484,830,39622,1.76,33.856892,-80.945007
190,South Dakota,12/31/2023,51829,24490,604,49924,2.31,44.299782,-99.438828
191,Tennessee,12/31/2023,42976,24485,743,42060,2.09,35.747845,-86.692345
192,Texas,12/31/2023,47377,24484,867,46291,2.48,31.054487,-97.563461
193,Utah,12/31/2023,61419,24486,827,59420,1.75,40.150032,-111.862434
194,Vermont,12/31/2023,41577,24481,1116,43325,1.42,44.045876,-72.710686
195,Virginia,12/31/2023,56720,24493,1052,55259,1.86,37.769337,-78.169968
196,Washington,12/31/2023,50433,24481,1089,50102,3.26,47.400902,-121.490494
197,West Virginia,12/31/2023,39345,24501,722,39919,3.82,38.491226,-80.954453
198,Wisconsin,12/31/2023,50014,24480,718,48519,1.93,44.268543,-89.616508
199,Wyoming,12/31/2023,49125,24497,752,48038,2.93,42.755966,-107.30249
200,Alabama,12/31/2024,49631,24030,1054,48359,1.74,32.806671,-86.79113
201,Alaska,12/31/2024,55947,24032,694,55133,5.66,61.370716,-152.404419
202,Arizona,12/31/2024,46523,24031,622,45276,3.24,33.729759,-111.431221
203,Arkansas,12/31/2024,43345,24051,884,42548,2.33,34.969704,-92.373123
204,California,12/31/2024,51634,24026,1462,52454,2.26,36.116203,-119.681564
205,Colorado,12/31/2024,67004,24025,1236,68437,1.82,39.059811,-105.311104
206,Connecticut,12/31/2024,54135,24040,1046,53448,2.28,41.597782,-72.755371
207,Delaware,12/31/2024,50712,24051,924,49224,2.11,39.318523,-75.507141
208,Florida,12/31/2024,47713,24032,1014,47147,1.68,27.766279,-81.686783
209,Georgia,12/31/2024,44920,24034,813,43759,1.98,33.040619,-83.643074
210,Hawaii,12/31/2024,63550,24044,1785,65490,1.64,21.094318,-157.498337
211,Idaho,12/31/2024,37794,24047,748,37863,1.57,44.240459,-114.478828
212,Illinois,12/31/2024,53011,24036,658,51145,2.42,40.349457,-88.986137
213,Indiana,12/31/2024,43524,24022,859,42635,1.87,39.849426,-86.258278
214,Iowa,12/31/2024,52409,24017,646,50324,1.52,42.011539,-93.210526
215,Kansas,12/31/2024,49561,24029,655,47545,2.25,38.5266,-96.726486
216,Kentucky,12/31/2024,39753,24044,682,39422,2.64,37.66814,-84.670067
217,Louisiana,12/31/2024,41214,24065,755,40454,3.37,31.169546,-91.867805
218,Maine,12/31/2024,36090,24051,935,37147,1.84,44.693947,-69.381927
219,Maryland,12/31/2024,56472,24045,1242,55851,2.47,39.063946,-76.802101
220,Massachusetts,12/31/2024,50576,24056,1680,54159,1.69,42.230171,-71.530106
221,Michigan,12/31/2024,44491,24052,740,43541,2.27,43.326618,-84.536095
222,Minnesota,12/31/2024,47366,24030,961,47924,2.03,45.694454,-93.900192
223,Mississippi,12/31/2024,36651,24017,786,37108,3.58,32.741646,-89.678696
224,Missouri,12/31/2024,42976,24047,694,41914,1.76,38.456085,-92.288368
225,Montana,12/31/2024,41794,24042,744,41694,2.29,46.921925,-110.454353
226,Nebraska,12/31/2024,50242,24043,728,49606,2.36,41.12537,-98.268082
227,Nevada,12/31/2024,54889,24043,845,52889,2.09,38.313515,-117.055374
228,New Hampshire,12/31/2024,63622,24049,1149,64817,1.53,43.452492,-71.563896
229,New Jersey,12/31/2024,57043,24032,1283,57323,2.13,40.298904,-74.521011
230,New Mexico,12/31/2024,42687,24036,721,41595,3.84,34.840515,-106.248482
231,New York,12/31/2024,52379,24024,1394,53967,2.57,42.165726,-74.948051
232,North Carolina,12/31/2024,45915,24044,804,45481,2.33,35.630066,-79.806419
233,North Dakota,12/31/2024,43815,24043,665,42535,1.88,47.528912,-99.784012
234,Ohio,12/31/2024,47045,24044,661,45741,2.60,40.388783,-82.764915
235,Oklahoma,12/31/2024,48269,24052,660,46862,2.16,35.565342,-96.928917
236,Oregon,12/31/2024,46443,24048,932,45891,2.44,44.572021,-122.070938
237,Pennsylvania,12/31/2024,49777,24038,1014,51193,2.64,40.590752,-77.209755
238,Rhode Island,12/31/2024,43242,24029,1196,45056,1.97,41.680893,-71.51178
239,South Carolina,12/31/2024,39622,24034,828,39553,1.53,33.856892,-80.945007
240,South Dakota,12/31/2024,49924,24041,582,48090,2.18,44.299782,-99.438828
241,Tennessee,12/31/2024,42061,24035,728,41164,1.86,35.747845,-86.692345
242,Texas,12/31/2024,46291,24034,847,45230,2.27,31.054487,-97.563461
243,Utah,12/31/2024,59420,24036,799,57486,1.56,40.150032,-111.862434
244,Vermont,12/31/2024,43325,24031,1163,45147,1.26,44.045876,-72.710686
245,Virginia,12/31/2024,55259,24045,1025,53837,1.68,37.769337,-78.169968
246,Washington,12/31/2024,50102,24031,1082,49773,3.00,47.400902,-121.490494
247,West Virginia,12/31/2024,39918,24055,732,40500,3.59,38.491226,-80.954453
248,Wisconsin,12/31/2024,48519,24029,697,47069,1.72,44.268543,-89.616508
249,Wyoming,12/31/2024,48038,24049,734,46975,2.77,42.755966,-107.30249
250,Alabama,12/31/2025,48358,23587,1027,47119,1.52,32.806671,-86.79113
251,Alaska,12/31/2025,55133,23590,684,54331,5.54,61.370716,-152.404419
252,Arizona,12/31/2025,45276,23589,606,44062,2.98,33.729759,-111.431221
253,Arkansas,12/31/2025,42548,23612,867,41767,2.14,34.969704,-92.373123
254,California,12/31/2025,52454,23583,1483,53287,2.01,36.116203,-119.681564
255,Colorado,12/31/2025,68437,23582,1259,69901,1.64,39.059811,-105.311104
256,Connecticut,12/31/2025,53448,23600,1032,52770,2.07,41.597782,-72.755371
257,Delaware,12/31/2025,49224,23612,897,47780,1.92,39.318523,-75.507141
258,Florida,12/31/2025,47146,23590,1002,46586,1.47,27.766279,-81.686783
259,Georgia,12/31/2025,43759,23592,792,42628,1.75,33.040619,-83.643074
260,Hawaii,12/31/2025,65490,23604,1847,67489,1.48,21.094318,-157.498337
261,Idaho,12/31/2025,37864,23608,750,37933,1.39,44.240459,-114.478828
262,Illinois,12/31/2025,51145,23595,636,49345,2.17,40.349457,-88.986137
263,Indiana,12/31/2025,42635,23578,841,41764,1.66,39.849426,-86.258278
264,Iowa,12/31/2025,50325,23572,620,48322,1.37,42.011539,-93.210526
265,Kansas,12/31/2025,47545,23587,629,45610,2.08,38.5266,-96.726486
266,Kentucky,12/31/2025,39422,23604,676,39094,2.40,37.66814,-84.670067
267,Louisiana,12/31/2025,40454,23629,742,39708,3.17,31.169546,-91.867805
268,Maine,12/31/2025,37147,23613,963,38235,1.66,44.693947,-69.381927
269,Maryland,12/31/2025,55851,23605,1228,55237,2.28,39.063946,-76.802101
270,Massachusetts,12/31/2025,54159,23618,1805,57995,1.52,42.230171,-71.530106
271,Michigan,12/31/2025,43541,23614,724,42612,2.02,43.326618,-84.536095
272,Minnesota,12/31/2025,47924,23587,972,48489,1.85,45.694454,-93.900192
273,Mississippi,12/31/2025,37108,23573,795,37572,3.32,32.741646,-89.678696
274,Missouri,12/31/2025,41913,23608,677,40877,1.56,38.456085,-92.288368
275,Montana,12/31/2025,41694,23602,742,41595,2.11,46.921925,-110.454353
276,Nebraska,12/31/2025,49605,23603,719,48977,2.26,41.12537,-98.268082
277,Nevada,12/31/2025,52888,23602,814,50961,1.82,38.313515,-117.055374
278,New Hampshire,12/31/2025,64817,23610,1170,66035,1.38,43.452492,-71.563896
279,New Jersey,12/31/2025,57323,23590,1290,57604,1.92,40.298904,-74.521011
280,New Mexico,12/31/2025,41595,23595,704,40531,3.65,34.840515,-106.248482
281,New York,12/31/2025,53968,23580,1438,55604,2.36,42.165726,-74.948051
282,North Carolina,12/31/2025,45481,23604,796,45051,2.09,35.630066,-79.806419
283,North Dakota,12/31/2025,42535,23603,645,41293,1.79,47.528912,-99.784012
284,Ohio,12/31/2025,45741,23604,642,44473,2.35,40.388783,-82.764915
285,Oklahoma,12/31/2025,46862,23614,641,45496,1.99,35.565342,-96.928917
286,Oregon,12/31/2025,45891,23608,921,45345,2.20,44.572021,-122.070938
287,Pennsylvania,12/31/2025,51193,23597,1042,52649,2.43,40.590752,-77.209755
288,Rhode Island,12/31/2025,45056,23586,1250,46946,1.74,41.680893,-71.51178
289,South Carolina,12/31/2025,39553,23592,827,39484,1.33,33.856892,-80.945007
290,South Dakota,12/31/2025,48090,23601,562,46323,2.05,44.299782,-99.438828
291,Tennessee,12/31/2025,41164,23593,713,40287,1.66,35.747845,-86.692345
292,Texas,12/31/2025,45230,23592,827,44193,2.07,31.054487,-97.563461
293,Utah,12/31/2025,57486,23595,773,55616,1.39,40.150032,-111.862434
294,Vermont,12/31/2025,45147,23588,1213,47045,1.13,44.045876,-72.710686
295,Virginia,12/31/2025,53837,23605,999,52451,1.52,37.769337,-78.169968
